fiscal_year,data_from_table,parameter,mcx_futures_agriculture,mcx_futures_metals,mcx_futures_bullion,mcx_futures_energy,mcx_futures_precious_metals_indices,mcx_options_agriculture,mcx_options_metals,mcx_options_bullion,mcx_options_energy,ncdex_futures_agriculture,ncdex_futures_metals,ncdex_futures_bullion,ncdex_futures_energy,ncdex_futures_precious_metals_indices,ncdex_options_agriculture,ncdex_options_metals,ncdex_options_bullion,ncdex_options_energy,bse_futures_agriculture,bse_futures_metals,bse_futures_bullion,bse_futures_energy,bse_futures_precious_metals_indices,bse_options_agriculture,bse_options_metals,bse_options_bullion,bse_options_energy,nse_futures_agriculture,nse_futures_metals,nse_futures_bullion,nse_futures_energy,nse_futures_precious_metals_indices,nse_options_agriculture,nse_options_metals,nse_options_bullion,nse_options_energy,icex_futures_agriculture,icex_futures_metals,icex_futures_bullion,icex_futures_energy,icex_futures_precious_metals_indices,icex_options_agriculture,icex_options_metals,icex_options_bullion,icex_options_energy,released_on,updated_on,data_source,data_url
2019-20,Table 43A: Commodities Permitted to trade,Permitted for Trading,9,5,3,2,0,0,2,2,1,21,0,0,0,0,5,0,0,0,7,3,2,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 43A: Commodities Permitted to trade,Traded,5,5,2,2,0,0,2,2,1,16,0,0,0,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 43A: Commodities Permitted to trade,Permitted for Trading,8,5,2,2,2,0,2,2,1,23,1,0,0,0,7,0,0,0,8,3,2,2,0,0,0,2,0,1,1,2,1,0,0,1,2,0,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 43A: Commodities Permitted to trade,Traded,5,5,2,2,2,0,2,2,1,18,1,0,0,0,3,0,0,0,2,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 43A: Commodities Permitted to trade,Permitted for Trading,5,5,2,2,3,1,3,2,2,24,1,0,0,1,6,0,0,0,8,4,2,2,0,8,4,2,2,0,1,2,1,0,0,1,2,0,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 43A: Commodities Permitted to trade,Traded,5,5,2,2,3,0,3,2,2,13,1,0,0,1,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 43A: Commodities Permitted to trade,Permitted for Trading,3,5,2,2,3,0,3,2,2,18,1,0,0,1,6,0,0,0,5,4,2,2,0,5,4,2,2,0,1,2,3,0,0,1,2,0,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 43A: Commodities Permitted to trade,Traded,3,4,2,2,1,0,2,2,2,10,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 43A: Commodities Permitted to trade,Permitted for Trading,3,6,2,2,2,0,2,2,2,20,1,0,0,0,6,0,0,0,1,3,2,2,0,,,2,2,0,5,2,2,0,0,2,2,2,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 43A: Commodities Permitted to trade,Traded,3,4,2,2,1,0,2,2,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,2,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 43A: Commodities Permitted to trade,Permitted for Trading,6,6,2,2,2,0,2,2,2,19,1,0,0,0,6,0,0,0,1,3,5,2,0,0,0,2,2,0,5,2,2,0,0,2,2,2,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 43A: Commodities Permitted to trade,Traded,4,4,2,2,1,0,2,2,2,13,1,0,0,0,5,0,0,0,2,1,0,1,0,0,0,0,2,0,0,2,2,0,0,0,1,2,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
