fiscal_year,city,data_from_table,released_on,updated_on,data_source,data_url,gross_inflows_inr_crore,net_inflows_inr_crore,aum_as_on_march_31_inr_crore
2014-15,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7674147.466348964,54964.36863923147,456665.4175785399
2015-16,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,10086652.030614156,34676.22778604099,515302.02107752534
2016-17,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,13247092.707061984,151798.55268044161,747187.0001757654
2017-18,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,14859700.744541168,62405.25692784815,828513.4535521017
2018-19,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,16089472.84,26194.4,767653.25
2019-20,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,11447702.733241675,32011.557092098228,745007.1344776081
2020-21,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,4320811,171775,981087
2021-22,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,4464783.157635304,62026.02946869023,1129540.029759015
2022-23,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,4884442.550986875,-33302.018921416005,1100450.8358910955
2023-24,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,5295521.457770924,129203.85908624322,1430764.5175487765
2024-25,Mumbai,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,6148656.883460386,233692.43516013073,1774798.2312598038
2014-15,Delhi,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1633284.099773265,9126.835054434998,156456.47602087428
2015-16,Delhi,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1653232.9320935216,25793.08743701363,170563.3439181806
2016-17,Delhi,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1635292.909288322,40345.87797861559,225832.58596714883
2017-18,Delhi,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2651034.7659418136,37771.70802658856,289414.39826674864
2018-19,Delhi,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,3666634.9899999998,-6148.07,347193.20999999996
2019-20,Delhi,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2907851.270299585,2030.2600498851925,328090.8585397512
2020-21,Delhi,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1809040,9656,411409
